Q-Tip,"Breathe And Stop",SC8656,14,SC8656,SC,1," 2/27/13"
"Q., Stacey","Two Of Hearts",SC8338,5,SC8338,SC,1," 2/27/13"
"Quad City Dj's","C'mon 'n Ride Da Train",MM6192,1,MM6192,MM,1," 2/27/13"
"Quad City DJ's","C'Mon 'N Ride Da Train",SC3001,1,SC3001,SC,1," 2/27/13"
"Quad City Dj's","C'mon 'n Ride Da Train",MMGCP9801,4,MMGCP9801,MM,1," 2/27/13"
"Quad City Dj's","C'mon N' Ride It (The Train)",SC8746,9,SC8746,SC,1," 2/27/13"
"Quad City DJ's wvocal","C'Mon 'N Ride Da Train",SC3001,9,SC3001,SC,1," 2/27/13"
Quadron,"Baby Be Mine",PHMU1207,7,PHMU1207,PH,1," 2/27/13"
"Quando Quando Quando","Humperdinck, Engelbert",BS8817,12,BS8817,BS,1," 2/27/13"
Quarashi,"Stick 'em Up",SC8768,14,SC8768,SC,1," 2/27/13"
Quarterflash,"Harden My Heart",SC7535,10,SC7535,SC,1," 2/27/13"
Quarterflash,"Take Me To Heart",SC8378,9,SC8378,SC,1," 2/27/13"
"Quatro, Suzi","Can The Can",SF035,10,SF035,SF,1," 2/27/13"
"Quatro, Suzi","Devil Gate Drive",SF024,8,SF024,SF,1," 2/27/13"
"Quatro, Suzy & Chris Norman","Stumblin' In",SC8715,10,SC8715,SC,1," 2/27/13"
Queen,"Another One Bites The Dust",SC8772,15,SC8772,SC,1," 2/27/13"
Queen,"Bicycle Race",SC8772,11,SC8772,SC,1," 2/27/13"
Queen,"Body Language",SC8725,3,SC8725,SC,1," 2/27/13"
Queen,"Bohemian Rhapsody",SC7506,6,SC7506,SC,1," 2/27/13"
Queen,Breakthru',SF111,6,SF111,SF,1," 2/27/13"
Queen,"Crazy Little Thing Called Love",SC8772,9,SC8772,SC,1," 2/27/13"
Queen,"Fat Bottomed Girls",SC8169,9,SC8169,SC,1," 2/27/13"
Queen,"Friends Will Be Friends",SF056,5,SF056,SF,1," 2/27/13"
Queen,"Heaven For Everyone",SF060,5,SF060,SF,1," 2/27/13"
Queen,"I Want To Break Free",SF058,10,SF058,SF,1," 2/27/13"
Queen,"Keep Yourself Alive",SC8772,14,SC8772,SC,1," 2/27/13"
Queen,"Killer Queen",DK097,6,DK097,DK,1," 2/27/13"
Queen,"Now I'm Here",SC8772,12,SC8772,SC,1," 2/27/13"
Queen,"Play The Game",SC8772,13,SC8772,SC,1," 2/27/13"
Queen,"Radio Ga Ga",SF007,14,SF007,SF,1," 2/27/13"
Queen,"Radio Ga-Ga",SC8574,5,SC8574,SC,1," 2/27/13"
Queen,"Somebody To Love",SC8574,14,SC8574,SC,1," 2/27/13"
Queen,"Stone Cold Crazy",SC8772,6,SC8772,SC,1," 2/27/13"
Queen,"Tie Your Mother Down",SC8334,14,SC8334,SC,1," 2/27/13"
Queen,"Under Pressure",SC8574,11,SC8574,SC,1," 2/27/13"
Queen,"We Are The Champions",CBEP474-6,16,CBEP474-6,CB,1," 2/27/13"
Queen,"We Will Rock You",MM6058,15,MM6058,MM,1," 2/27/13"
Queen,"We Will Rock You (We Are The Champions)",SC8772,8,SC8772,SC,1," 2/27/13"
Queen,"Who Wants To Live Forever",SC8725,1,SC8725,SC,1," 2/27/13"
Queen,"You're My Best Friend",SC8772,7,SC8772,SC,1," 2/27/13"
"Queen Latifah",U.N.I.T.Y.,SC8875,3,SC8875,SC,1," 2/27/13"
"Queen Latifah, Lil' Kim & Macy Gray","Cell Block Tango (He Had It Comin')",SC8822,1,SC8822,SC,1," 2/27/13"
"Queen Of My Heart",Westlife,SF185,16,SF185,SF,1," 2/27/13"
"Queen Of The Slip Stream","Morrison, Van",BS7417,15,BS7417,BS,1," 2/27/13"
"Queens Of The Stone Age","No One Knows",PHR0301,3,PHR0301,PH,1," 2/27/13"
"Queens Of The Stone Ageÿ","No One Knows",CB30036,1,CB30036,CB,1," 2/27/13"
Queensryche,"Another Rainy Night Without You",SC7565,8,SC7565,SC,1," 2/27/13"
Queensryche,Empire,SC8660,3,SC8660,SC,1," 2/27/13"
Queensryche,"I Don't Believe In Love",SC8713,1,SC8713,SC,1," 2/27/13"
Queensryche,"Jet City Woman",SC8540,5,SC8540,SC,1," 2/27/13"
Queensryche,"Queen Of The Reich",SC8756,6,SC8756,SC,1," 2/27/13"
Queensryche,"Silent Lucidity",SC8252,10,SC8252,SC,1," 2/27/13"
"Queensryche & Rush","Another Rainy Night (Without You)",SC8691,8,SC8691,SC,1," 2/27/13"
"Queensryche & Rush","Closer To The Heart",SC8691,7,SC8691,SC,1," 2/27/13"
"Queensryche & Rush","Della Brown",SC8691,3,SC8691,SC,1," 2/27/13"
"Queensryche & Rush","Eyes Of A Stranger",SC8691,9,SC8691,SC,1," 2/27/13"
"Queensryche & Rush","Fly By Night",SC8691,13,SC8691,SC,1," 2/27/13"
"Queensryche & Rush",Freewill,SC8691,4,SC8691,SC,1," 2/27/13"
"Queensryche & Rush","I Don't Believe In Love",SC8691,15,SC8691,SC,1," 2/27/13"
"Queensryche & Rush","Jet City Woman",SC8691,14,SC8691,SC,1," 2/27/13"
"Queensryche & Rush",Limelight,SC8691,12,SC8691,SC,1," 2/27/13"
"Queensryche & Rush","New World Man",SC8691,10,SC8691,SC,1," 2/27/13"
"Queensryche & Rush","Red Barchetta",SC8691,5,SC8691,SC,1," 2/27/13"
"Queensryche & Rush","Silent Lucidity",SC8691,6,SC8691,SC,1," 2/27/13"
"Queensryche & Rush","Spirit Of Radio, The",SC8691,2,SC8691,SC,1," 2/27/13"
"Queensryche & Rush","Take Hold Of The Flame",SC8691,1,SC8691,SC,1," 2/27/13"
"Queensryche & Rush","Tom Sawyer",SC8691,11,SC8691,SC,1," 2/27/13"
"Question 67 & 68",Chicago,AH2004,9,AH2004,AH,1," 2/27/13"
"Question Mark & The Mysterians","96 Tears",MMGOLD01,9,MMGOLD01,MM,1," 2/27/13"
"Quiet Riot","Cum On Feel The Noize",SC8252,14,SC8252,SC,1," 2/27/13"
"Quiet Riot","Metal Health",SC8516,10,SC8516,SC,1," 2/27/13"
"Quinn, Sinead","I Can't Break Down",SF203,2,SF203,SF,1," 2/27/13"
"Quthere Brothers","Boom Boom Boom",SF029,7,SF029,SF,1," 2/27/13"
