"26 Miles","Four Preps, The",JV0005,10,JV0005,,JV,1," 2/27/13"
311,"First Straw",SC3415,6,SC3415,,SC,1," 2/27/13"
"311 wvocal","First Straw",PHR0409,10,PHR0409,,PH,1," 2/27/13"
"3OH!3 feat Neon Hitch","Follow Me Down",PHMP1006,8,PHMP1006,,PH,1," 2/27/13"
4Him,"For Future Generations",CBE4-29,9,CBE4-29,,CB,1," 2/27/13"
"6 Tre G",Fresh,PHMU1001,4,PHMU1001,,PH,1," 2/27/13"
"A Teens",Floorfiller,MM6413,6,MM6413,,MM,1," 2/27/13"
Abba,Fernando,SC8861,12,SC8861,,SC,1," 2/27/13"
Ac-Dc,"For Those About To Rock We Salute You",SC8701,1,SC8701,,SC,1," 2/27/13"
Aerosmith,"Falling In Love",PHM9704,5,PHM9704,,PH,1," 2/27/13"
Aerosmith,"Falling In Love (Is Hard On The Knees)",SC8635,8,SC8635,,SC,1," 2/27/13"
Aerosmith,"Fly Away From Here",PHR0107,1,PHR0107,,PH,1," 2/27/13"
"Aguilera, Christina",Fighter,THP0306,11,THP0306,,TH,1," 2/27/13"
"Aiken, Clay","First Noel, The",SC8899,5,SC8899,,SC,1," 2/27/13"
"Ain't Got Nothin' But The Blues","Ford, Robin",HV09,8,HV09,,HV,1," 2/27/13"
"Akins, Rhett","Friday Night In Dixie",CB60241,8,CB60241,,CB,1," 2/27/13"
Alabama,"Face To Face",DK079,7,DK079,,DK,1," 2/27/13"
Alabama,"Fallin' Again",SC8628,13,SC8628,,SC,1," 2/27/13"
Alabama,"Feels So Right",CBE4-18,8,CBE4-18,,CB,1," 2/27/13"
Alabama,"Fire In The Night",CB90001,8,CB90001,,CB,1," 2/27/13"
Alabama,"Forever's As Far As I'll Go",SC8135,15,SC8135,,SC,1," 2/27/13"
Alabama,"Forty Hour Week",SC8786,15,SC8786,,SC,1," 2/27/13"
Alabamaÿ,"Forever's As Far As I'll Go",CB90153,14,CB90153,,CB,1," 2/27/13"
"Albert, Morris",Feelings,DK068,9,DK068,,DK,1," 2/27/13"
"Aldo Nova",Fantasy,SC8516,12,SC8516,,SC,1," 2/27/13"
"Alex Day","Forever Yours",PHMP1203,6,PHMP1203,,PH,1," 2/27/13"
"ALL MY LIFE","FOO FIGHTERS",TTM111,1,TTM111,,TT,1," 2/27/13"
"All My Lifeÿ","Foo Fighters",THR0212,10,THR0212,,TH,1," 2/27/13"
"All Right Now",Free,PI009,11,PI009,,PI,1," 2/27/13"
"All Seeing I","First Man In Space",SF148,14,SF148,,SF,1," 2/27/13"
"Allan, Gary","Forever And A Day",MM6187,12,MM6187,,MM,1," 2/27/13"
"Allan, Gary","From Where I'm Sitting",SC8376,14,SC8376,,SC,1," 2/27/13"
Alphaville,"Forever Young",SC8678,9,SC8678,,SC,1," 2/27/13"
America,"From A Moving Train",SC8487,8,SC8487,,SC,1," 2/27/13"
"American Hi-Fi","Flavor Of The Weak",MM6335,10,MM6335,,MM,1," 2/27/13"
"American Hi-fi","Flavor Of The Weak",CBEP473-6,11,CBEP473-6,,CB,1," 2/27/13"
"American Hi-fi","Flavor Of The Week",PHR0107,6,PHR0107,,PH,1," 2/27/13"
"Anderson, Bill","For Loving You",CB90218,5,CB90218,,CB,1," 2/27/13"
"Anderson, Lynn","Fool Me",CB90114,13,CB90114,,CB,1," 2/27/13"
"Andy Grammar","Fine By Me",PHMP1202,2,PHMP1202,,PH,1," 2/27/13"
"Another Level","Freak Me",SF123,9,SF123,,SF,1," 2/27/13"
"Another Level","From The Heart",SF140,14,SF140,,SF,1," 2/27/13"
Antonia,Fame,SF009,15,SF009,,SF,1," 2/27/13"
"Apple, Fiona","Fast As You Can",SC8581,1,SC8581,,SC,1," 2/27/13"
Ashanti,Foolish,SC8797,14,SC8797,,SC,1," 2/27/13"
"Ashley Gearing","Five More Minutes - Copy",PHMC1106,2,PHMC1106,,PH,1," 2/27/13"
"Ashton, Susan","Faith Of The Heart",SC8520,10,SC8520,,SC,1," 2/27/13"
"B. Taylor feat Pauley Perrette","Fire In Your Eyes",PHMU1110,3,PHMU1110,,PH,1," 2/27/13"
"Baby I Love You","Franklin, Aretha",HV06B,6,HV06B,,HV,1," 2/27/13"
"Baby Now That I've Found You","Foundations, The",PX14,9,PX14,,PX,1," 2/27/13"
"Baby, Now That I've Found You","Foundations, The",PLC08,13,PLC08,,PL,1," 2/27/13"
Babyface,"Fire And Rain",PHMP0804,9,PHMP0804,,PH,1," 2/27/13"
Babyface,"For The Cool In You",SC8132,7,SC8132,,SC,1," 2/27/13"
"Bad Company","Feel Like Makin' Love",SC8115,7,SC8115,,SC,1," 2/27/13"
"Bailey, Razzy",Friends,CBE4-17,6,CBE4-17,,CB,1," 2/27/13"
"Ballard, Hank & Midnighters","Finger Poppin' Time",SC8255,13,SC8255,,SC,1," 2/27/13"
"Bandy & Baily","Following The Feeling",MM6314,6,MM6314,,MM,1," 2/27/13"
"Bare, Bobby","Four Strong Winds",SC8428,11,SC8428,,SC,1," 2/27/13"
"Barenaked Ladies","Failing For The First Time",CBEP470-5,13,CBEP470-5,,CB,1," 2/27/13"
"Barenaked Ladies","Falling For The First Time",SC8730,8,SC8730,,SC,1," 2/27/13"
"Barenaked Ladies, The","Falling For The First Time",MM6345,12,MM6345,,MM,1," 2/27/13"
"Barnes & Barnes","Fish Heads",SC8544,6,SC8544,,SC,1," 2/27/13"
"Beach Boys, The","Fun, Fun, Fun",PI002,14,PI002,,PI,1," 2/27/13"
"Beastie Boys, The","Fight For Your Right To Party",CBE4-06,12,CBE4-06,,CB,1," 2/27/13"
"Beatles, The","Fool On The Hill, The",DK017,8,DK017,,DK,1," 2/27/13"
"Beatles, The","For No One",SAVP03,15,SAVP03,,SA,1," 2/27/13"
"Beatles, The","Free As A Bird",SC8233,14,SC8233,,SC,1," 2/27/13"
"Beatles, The","From Me To You",MMOLD01,16,MMOLD01,,MM,1," 2/27/13"
"Bedingfield, Daniel",Friday,SF210,15,SF210,,SF,1," 2/27/13"
"Beenie Man & Janet","Feel It Boy",SC8778,10,SC8778,,SC,1," 2/27/13"
"Beenie Man & Janet wvocal","Feel It Boy",PHU0210,12,PHU0210,,PH,1," 2/27/13"
"Bellamy Brothers","For All The Wrong Reasons",CB90110,10,CB90110,,CB,1," 2/27/13"
"Bellamy Brothers, The","For All The Wrong Reasons",SC8385,1,SC8385,,SC,1," 2/27/13"
"Bellamy Brothers, The wvocal","For All The Wrong Reasons",SC2320,8,SC2320,,SC,1," 2/27/13"
"Belle, Regina & Jeffery Osbourne","Far Longer Than Forever",CBEP471-4,8,CBEP471-4,,CB,1," 2/27/13"
Belly,"Feed The Tree",SC8122,2,SC8122,,SC,1," 2/27/13"
"Benatar, Pat","Fire And Ice",SGB21,6,SGB21,,SG,1," 2/27/13"
"Bennett, Tony","Fly Me To The Moon",DK086,11,DK086,,DK,1," 2/27/13"
"Berry, John",Faithfully,SD041,10,SD041,,SD,1," 2/27/13"
"Bette Midler","From A Distance",SF053,15,SF053,,SF,1," 2/27/13"
"Big House",Faith,SC8464,4,SC8464,,SC,1," 2/27/13"
"Bishop, Elvin","Fooled Around & Fell In Love",PI003,13,PI003,,PI,1," 2/27/13"
"Bishop, Elvin","Fooled Around And Fell In Love",CBEP474-5,9,CBEP474-5,,CB,1," 2/27/13"
"Blazin' Squad","Flip Reverse",SF211,9,SF211,,SF,1," 2/27/13"
"Blige, Mary J","Family Affair",PHM0202,3,PHM0202,,PH,1," 2/27/13"
"Blige, Mary J.","Family Affair",SC8741,14,SC8741,,SC,1," 2/27/13"
"Blink 182","Feeling This",SC3393,11,SC3393,,SC,1," 2/27/13"
"Blink 182","First Date",SC8758,11,SC8758,,SC,1," 2/27/13"
"Bloodhound Gang, The","Fire Water Burn",SC8700,2,SC8700,,SC,1," 2/27/13"
"Bob Seger","Fire Lake",AH8020,10,AH8020,,AH,1," 2/27/13"
"Bob Wills & His Texas Playboys","Faded Love",CBE3-01,7,CBE3-01,,CB,1," 2/27/13"
"Bogguss, Suzy","From Where I Stand",CB90038,15,CB90038,,CB,1," 2/27/13"
Bomshel,"Fight Like A Girl",PHMC0905,4,PHMC0905,,PH,1," 2/27/13"
"Boone, Pat","Friendly Persuasion",CB5013-03,15,CB5013-03,,CB,1," 2/27/13"
"Bowie, David",Fame,SGB060,8,SGB060,,SG,1," 2/27/13"
"Boyz Ii Men","Four Seasons Of Lonliness",PHM9711,8,PHM9711,,PH,1," 2/27/13"
Brandy,"Full Moon",CBEP473-6,14,CBEP473-6,,CB,1," 2/27/13"
"Brian McKnight","Fall 5.0",PHMU1108,4,PHMU1108,,PH,1," 2/27/13"
"Broadman Hymnal","Face To Face",CB70018,10,CB70018,,CB,1," 2/27/13"
"Broadman Hymnal","Fairest Lord Jesus",CB70020,5,CB70020,,CB,1," 2/27/13"
"Broadman Hymnal","Footsteps Of Jesus",CB70020,7,CB70020,,CB,1," 2/27/13"
"Brooke Hogan feat Stacks",Falling,PHMP0909,8,PHMP0909,,PH,1," 2/27/13"
"Brooks & Dunn","Few Good Rides Away, A",SC8282,2,SC8282,,SC,1," 2/27/13"
"Brooks, Garth","Face To Face",SC8265,3,SC8265,,SC,1," 2/27/13"
"Brooks, Garth",Fever,SC8224,5,SC8224,,SC,1," 2/27/13"
"Brooks, Garth","Friends In Low Places",SC8105,14,SC8105,,SC,1," 2/27/13"
"Brown, Arthur",Fire,SF070,5,SF070,,SF,1," 2/27/13"
"Brown, Chris",Forever,PHMP0808,4,PHMP0808,,PH,1," 2/27/13"
"Browne, Tom","Funking For Jamaica",SF067,8,SF067,,SF,1," 2/27/13"
Buckcherry,"For The Movies",PHT9915,8,PHT9915,,PH,1," 2/27/13"
"Budden, Joe",Fire,PHU0310,2,PHU0310,,PH,1," 2/27/13"
"Budden, Joe wvocal",Fire,PHU0310,11,PHU0310,,PH,1," 2/27/13"
"Buffalo Springfield","For What It's Worth",DK053,14,DK053,,DK,1," 2/27/13"
"Buffett, Jimmy",Fins,SC8147,4,SC8147,,SC,1," 2/27/13"
"Buffett, Jimmy","Fruit Cakes",SC8821,3,SC8821,,SC,1," 2/27/13"
"Buffett, Jimmy",Fruitcakes,CB4199,12,CB4199,,CB,1," 2/27/13"
"Build Me Up Buttercup","Foundations, The",PX14,14,PX14,,PX,1," 2/27/13"
"Bullens, Cindy","Freddy My Love",SC2157,6,SC2157,,SC,1," 2/27/13"
"Butler, Jerry","For Your Precious Love",MM6401,7,MM6401,,MM,1," 2/27/13"
"Byrd, Tracy","First Step, The",SC8149,12,SC8149,,SC,1," 2/27/13"
"Byrd, Tracy wvocal","First Step, The",SC2127,12,SC2127,,SC,1," 2/27/13"
"Calling, The","For You",THP0306,17,THP0306,,TH,1," 2/27/13"
"Calling, Theÿ","For You",CB30036,13,CB30036,,CB,1," 2/27/13"
"Campbell, Glen","Faithless Love",SC7569,13,SC7569,,SC,1," 2/27/13"
Candlebox,"Far Behind",SGB031,7,SGB031,,SG,1," 2/27/13"
"Cara, Irene",Fame,MM6112,15,MM6112,,MM,1," 2/27/13"
"Cara, Irene",Flashdance,SC7503,15,SC7503,,SC,1," 2/27/13"
"Cara, Irene","Flashdance (What A Feeling)",CBE26,15,CBE26,,CB,1," 2/27/13"
"Carey, Mariah",Fantasy,SC8497,13,SC8497,,SC,1," 2/27/13"
"Carey, Mariah",Forever,SC8497,11,SC8497,,SC,1," 2/27/13"
"Carlisle, Bob","Father's Love",SC8501,4,SC8501,,SC,1," 2/27/13"
"Carpenter, Mary Chapin & Sheryl Crow","Flesh & Blood",SC8807,5,SC8807,,SC,1," 2/27/13"
"Carpenter, Mary Chapin, Crow, Sheryl And","Flesh And Blood",SC8856,7,SC8856,,SC,1," 2/27/13"
"Carpenter, Mary Chapinÿ& Sheryl Crow & E","Flesh And Blood",CB60312,14,CB60312,,CB,1," 2/27/13"
"Carpenters, The","For All We Know",DK055,8,DK055,,DK,1," 2/27/13"
"Carr, Vicki","For Once In My Life",MM6005,10,MM6005,,MM,1," 2/27/13"
"Carrington, Rodney",Fred,SC8739,12,SC8739,,SC,1," 2/27/13"
"Cartwright, Lionel","Family Tree",SC8245,5,SC8245,,SC,1," 2/27/13"
Cascada,Faded,PHMP0812,5,PHMP0812,,PH,1," 2/27/13"
"Cash, Johnny","Five Feet High And Rising",CB90074,12,CB90074,,CB,1," 2/27/13"
"Cash, Johnny","Flesh & Blood",CB90074,15,CB90074,,CB,1," 2/27/13"
"Cash, Johnny","Flesh And Blood",CB80102,1,CB80102,,CB,1," 2/27/13"
"Cash, Johnny","Folsom Prison Blues",DK067,17,DK067,,DK,1," 2/27/13"
"Cash, Johnny & Dave Matthews","For You",SC8759,13,SC8759,,SC,1," 2/27/13"
"Cash, Johnny & Fiona Apple","Father & Son",SC8867,3,SC8867,,SC,1," 2/27/13"
"Cassidy, Eva & Chuck Brown",Fever,SC2421,17,SC2421,,SC,1," 2/27/13"
"Cassidy, Eva wvocal",Fever,SC2421,12,SC2421,,SC,1," 2/27/13"
"Cee Lo Green","F--K You",PHMP1012,4,PHMP1012,,PH,1," 2/27/13"
"Cee Lo Green feat Melanie Fiona","Fool For You",PHMU1105,3,PHMU1105,,PH,1," 2/27/13"
"Cetera & Kahn","Feels Like Heaven",MM6000,13,MM6000,,MM,1," 2/27/13"
"Cetera, Peter",Faithfully,SD026,10,SD026,,SD,1," 2/27/13"
"Cetera, Peter & Crystal Bernard","Forever Tonight",SC8212,15,SC8212,,SC,1," 2/27/13"
"Chapman, Tracy","Fast Car",SGB21,8,SGB21,,SG,1," 2/27/13"
"Cheap Trick","Flame, The",SC8223,13,SC8223,,SC,1," 2/27/13"
"Chesney, Kenny","Fall In Love",CB60161,9,CB60161,,CB,1," 2/27/13"
"Chesney, Kenny","For The First Time",CB60214,7,CB60214,,CB,1," 2/27/13"
"Chesney, Kenny","From Hillbilly Heaven To Honky Tonk Hell",CB60043,14,CB60043,,CB,1," 2/27/13"
"Chesnutt, Mark","Fallin' Never Felt So Good",CB60199,12,CB60199,,CB,1," 2/27/13"
Chicago,"Funny Honey",MM6282,12,MM6282,,MM,1," 2/27/13"
"Children'sAnimal Songs","Farmer In The Dell, The",SC7008,16,SC7008,,SC,1," 2/27/13"
"Children'sAnimal Songs","Five Little Chickadees",SC7008,15,SC7008,,SC,1," 2/27/13"
"Children'sAnimal Songs","Five Little Monkeys",SC7008,13,SC7008,,SC,1," 2/27/13"
"Children'sAnimal Songs","Flea Fly Song",SC7008,6,SC7008,,SC,1," 2/27/13"
"Children'sAnimal Songs","Fuzzy Wuzzy",SC7008,10,SC7008,,SC,1," 2/27/13"
ChingyAmerie,"Fly Like Me",PHMU0802,6,PHMU0802,,PH,1," 2/27/13"
Christmas,"Feliz Navidad",MM6020,12,MM6020,,MM,1," 2/27/13"
Christmas,"First Noel, The",CB60033,15,CB60033,,CB,1," 2/27/13"
Christmas,"Frosty The Snowman",CB60031,9,CB60031,,CB,1," 2/27/13"
Christmas-Traditional,"Frosty The Snowman",SC8475,4,SC8475,,SC,1," 2/27/13"
"Clapton, Eric","Forever Man",SC8609,5,SC8609,,SC,1," 2/27/13"
"Clark, Sanford","Fool, The",SC8579,6,SC8579,,SC,1," 2/27/13"
"Cline, Patsy","Faded Love",CB90146,12,CB90146,,CB,1," 2/27/13"
"Cline, Patsy","Foolin' Around",CB90146,13,CB90146,,CB,1," 2/27/13"
"Closer To Me",Five,SF185,15,SF185,,SF,1," 2/27/13"
"Coasters, The",Framed,MM6074,6,MM6074,,MM,1," 2/27/13"
"Cochran, Anita","For Crying Out Loud",SC8556,13,SC8556,,SC,1," 2/27/13"
"Cocker, Joe","Feelin' All Right",SC8447,7,SC8447,,SC,1," 2/27/13"
"Colbie Caillat","Fallin' For You",PHMP0909,1,PHMP0909,,PH,1," 2/27/13"
"Cold As Ice",Foreigner,BS7517,6,BS7517,,BS,1," 2/27/13"
"Cole, Nat ''king''","For Sentimental Reasons",SC8288,15,SC8288,,SC,1," 2/27/13"
"Cole, Paula","Feelin' Love",SC8530,14,SC8530,,SC,1," 2/27/13"
"Come Softly To Me","Fleetwoods, The",JV0011,7,JV0011,,JV,1," 2/27/13"
"Con Funk Shun",Ffun,SC8386,12,SC8386,,SC,1," 2/27/13"
"Conlee, John","Friday Night Blues",SC8426,13,SC8426,,SC,1," 2/27/13"
"Conley, Earl Thomas","Fire & Smoke",CBE3-05,8,CBE3-05,,CB,1," 2/27/13"
"Conley, Earl Thomas","Fire And Smoke",CB60169,8,CB60169,,CB,1," 2/27/13"
Coolio,"Fantastic Voyage",AH9821,4,AH9821,,AH,1," 2/27/13"
"Cooper, Alice","Feed My Frankenstein",SGB09,9,SGB09,,SG,1," 2/27/13"
"Cornelius, Helen","First Noel, The",CB60187,6,CB60187,,CB,1," 2/27/13"
"Country Christmas","Frosty The Snowman",CB60188,4,CB60188,,CB,1," 2/27/13"
"Country Gentlemen","Fox On The Run",SC8693,10,SC8693,,SC,1," 2/27/13"
"Cranberries, The","Free To Decide",PHM9609,8,PHM9609,,PH,1," 2/27/13"
"Cray, Robert","Foul Play",MM6144,8,MM6144,,MM,1," 2/27/13"
"Crazy World Of Arthur Brown",Fire,SC8750,12,SC8750,,SC,1," 2/27/13"
Creed,"Freedom Fighter",SC2354,1,SC2354,,SC,1," 2/27/13"
"Creedence Clearwater Revival","Fortunate Son",MM6061,15,MM6061,,MM,1," 2/27/13"
"Crosby, Bing","Far Away Places",SC8249,6,SC8249,,SC,1," 2/27/13"
"Crosby, Rob","Fallin' In And Crawlin' Out",SC8294,7,SC8294,,SC,1," 2/27/13"
"Crosby, Stills, Nash & Young","Find The Cost Of Freedom",SC8891,10,SC8891,,SC,1," 2/27/13"
"Crow, Sheryl","First Cut Is The Deepest",SC8857,1,SC8857,,SC,1," 2/27/13"
"Crow, Sheryl","First Cut Is The Deepest, The",MM6407,16,MM6407,,MM,1," 2/27/13"
"Crow, Sheryl wvocal","First Cut Is The Deepest, The",SC3389,15,SC3389,,SC,1," 2/27/13"
Cult,"Fire Woman",SC8603,5,SC8603,,SC,1," 2/27/13"
Cure,"Fascination Street",SC8696,10,SC8696,,SC,1," 2/27/13"
Cure,"Friday I'm In Love",SF020,9,SF020,,SF,1," 2/27/13"
Cure,"Friday, I'm In Love",SC8242,14,SC8242,,SC,1," 2/27/13"
"Cure, The","Fascination Street",SC8687,5,SC8687,,SC,1," 2/27/13"
"Danger, Harvey","Flagpole Sitta",SC8465,6,SC8465,,SC,1," 2/27/13"
"Daniel, Davis","For Crying Out Loud",CB60163,4,CB60163,,CB,1," 2/27/13"
"Daniels, Clint","Fool's Progress, A",SC8470,2,SC8470,,SC,1," 2/27/13"
Darkness,"Friday Night",SF212,10,SF212,,SF,1," 2/27/13"
"Darling Nikki","Foo Fighters",PHR0402,4,PHR0402,,PH,1," 2/27/13"
"Darling, Helen","Full Deck Of Cards",SC8336,3,SC8336,,SC,1," 2/27/13"
Daughtry,"Feels Like Tonight",PHMP0803,7,PHMP0803,,PH,1," 2/27/13"
"David, Craig","Fill Me In",SC8708,10,SC8708,,SC,1," 2/27/13"
"Davis, Linda","From The Inside Out",SC8528,14,SC8528,,SC,1," 2/27/13"
"Davis, Mac","Forever Lovers",CB90116,13,CB90116,,CB,1," 2/27/13"
"Davis, Mac","Friend, Lover, Woman, Wife",CB90116,11,CB90116,,CB,1," 2/27/13"
"Day, Jennifer","Fun Of Your Love, The",CHM0005,20,CHM0005,,CH,1," 2/27/13"
"Def Leppard",Foolin',SC8872,4,SC8872,,SC,1," 2/27/13"
"Degraw, Gavin","Follow Through",PHM0401,6,PHM0401,,PH,1," 2/27/13"
"Diamond Rio","Finish What We Started",SC8198,15,SC8198,,SC,1," 2/27/13"
"Diamond Rio","Finish What We've Started",MM6101,6,MM6101,,MM,1," 2/27/13"
"Diamond, Neil","Forever In Blue Jeans",SC8627,9,SC8627,,SC,1," 2/27/13"
"Dierks Bentley","Feel That Fire",PHMC0812,1,PHMC0812,,PH,1," 2/27/13"
"Dion, Celine","Falling Into You",SC8316,7,SC8316,,SC,1," 2/27/13"
"Dirty White Boy",Foreigner,BS7517,16,BS7517,,BS,1," 2/27/13"
"Dodd, Deryl","Friends Don't Drive Friends To Drinkin'",MM6179,11,MM6179,,MM,1," 2/27/13"
